index,epoch,blockNumber,strikeIndex,amount,txType
1,1,22940062,0,3.0,0
2,1,22940325,1,2.0,0
3,1,22959024,1,2.0,0
4,1,22962396,3,7.782,0
5,1,22964093,3,500.0,0
6,1,22964131,2,500.0,0
7,1,22967245,1,2.273,0
8,1,22981466,2,1.016,0
9,1,23020472,2,11.427,0
10,1,23062051,1,6.0,1
11,1,23062188,2,20.0,1
12,1,23165340,0,1.0,1
13,1,23165793,2,10.0,1
14,1,23244639,1,0.15,0
15,1,23244804,0,0.15,0
16,1,23319117,0,10.0,0
17,1,23377591,0,6.0,1
18,1,23402497,0,6.0,1
19,1,23469465,0,0.00326,0
29,2,23794672,3,1.35,0
32,2,23804978,3,2.0,0
33,2,23805875,2,0.095,0
35,2,23821106,3,7.78,0
37,2,23846913,2,5.0,0
38,2,23852335,3,1.0,0
39,2,23852436,3,10.0,0
40,2,23856845,3,14.0,0
41,2,23860821,3,15.0,0
42,2,23860917,2,20.0,0
43,2,23961369,3,10.91,0
44,2,23961693,3,10.6,0
45,2,24032794,3,2.0,0
46,2,24110092,3,9.25,0
48,2,24182436,3,4.55,0
49,2,24242540,2,25.0,1
50,2,24242609,3,88.4,1
51,2,24447278,0,18.9583,0
52,2,24496694,0,18.958,1
66,3,24929823,3,2.126,0
67,3,24930418,2,1.062,0
69,3,24930552,3,18.0,0
71,3,24930644,3,9.307,0
72,3,24932624,3,40.0,0
74,3,24941765,3,50.0,0
75,3,24942245,2,1.0,1
76,3,24942940,3,25.0,1
77,3,24945974,0,17.0,0
78,3,24947018,2,10.0,0
79,3,24947042,3,13.5,0
80,3,24947200,1,12.0,0
82,3,24955191,3,4.57,0
83,3,25014344,1,0.36,0
84,3,25015494,0,2.6777,1
85,3,25024398,2,14.226,0
86,3,25032787,0,14.0,1
87,3,25048496,3,1.225,0
89,3,25203981,0,0.5,0
90,3,25495227,0,20.0,0
91,3,25495804,1,20.0,0
92,3,25536826,0,4.266604158797523,0
93,3,25537557,0,5.0,1
94,3,25616572,0,20.0,1
95,3,25616766,1,30.0,1
96,3,25676674,0,1.0,0
97,3,26005156,0,24.44,0
98,3,26061887,0,54.9,0
115,4,26227861,0,0.191,0
116,4,26230273,0,0.2,0
117,4,26231694,3,1.894,0
119,4,26232183,3,21.0,0
120,4,26232915,1,5.0,0
121,4,26235674,1,4.0,1
122,4,26237295,2,1.414,0
123,4,26240549,0,10.0,0
124,4,26247298,0,10.0,0
125,4,26247355,1,21.0,0
128,4,26249294,3,20.0,0
129,4,26249403,2,4.8,0
130,4,26254836,3,9.364,0
